validation_utility,test_utility,validation_accuracy,validation_macro_f1,test_accuracy,test_macro_f1,worst_client_utility,cross_client_variance,rounds_completed,rounds_to_target,target_reached,peak_memory_bytes,compute_to_target_seconds,communication_to_target_bytes,energy_to_target_joules,latency_to_target_seconds,privacy_risk,mean_round_latency_seconds,median_round_latency_seconds,p95_round_latency_seconds,metadata,plan_id,seed,dataset,accuracy_loss,feasible,violations,normalized_memory,normalized_compute,normalized_communication,normalized_energy,normalized_latency,normalized_privacy,normalized_accuracy,tradefl_score
0.57,0.4,0.57,0.4402356902356902,0.4,0.2840438697563265,0.4,0.0205999999999999,1,1,True,78397440,0.068960850010626,141,,0.068974950010626,0.25,0.068974950010626,0.068974950010626,0.068974950010626,"{'rank': 8, 'trainable_scope': 'lora_adapters', 'privacy_risk': 0.25, 'dataset': 'pubmedqa', 'labels': ('maybe', 'no', 'yes'), 'split_sizes': {'train': 800, 'validation': 100, 'test': 100}, 'backend': 'bag_of_words_reference', 'primary_metric': 'accuracy'}",lora_rank_8,42,pubmedqa,0.33,True,,0.009126663208007812,6.8960850010626e-05,7.05e-08,,5.7479125008854996e-05,0.5,1.65,0.35987552880414636
0.57,0.4,0.57,0.4402356902356902,0.4,0.2840438697563265,0.4,0.0205999999999999,1,1,True,78397440,0.0706316060095559,143,,0.0706459060095559,0.25,0.0706459060095559,0.0706459060095559,0.0706459060095559,"{'rank': 16, 'trainable_scope': 'lora_adapters', 'privacy_risk': 0.25, 'dataset': 'pubmedqa', 'labels': ('maybe', 'no', 'yes'), 'split_sizes': {'train': 800, 'validation': 100, 'test': 100}, 'backend': 'bag_of_words_reference', 'primary_metric': 'accuracy'}",lora_rank_16,42,pubmedqa,0.33,True,,0.009126663208007812,7.06316060095559e-05,7.15e-08,,5.8871588341296586e-05,0.5,1.65,0.35987603950736835
0.57,0.4,0.57,0.4402356902356902,0.4,0.2840438697563265,0.4,0.0205999999999999,1,1,True,78397440,0.0708395980182103,153,,0.0708548980182103,0.22,0.0708548980182103,0.0708548980182103,0.0708548980182103,"{'rank': 8, 'quantization_bits': 4, 'trainable_scope': 'qlora_adapters', 'privacy_risk': 0.22, 'dataset': 'pubmedqa', 'labels': ('maybe', 'no', 'yes'), 'split_sizes': {'train': 800, 'validation': 100, 'test': 100}, 'backend': 'bag_of_words_reference', 'primary_metric': 'accuracy'}",qlora_4bit_rank_8,42,pubmedqa,0.33,True,,0.009126663208007812,7.08395980182103e-05,7.65e-08,,5.9045748348508576e-05,0.44,1.65,0.3498761040367043
0.57,0.4,0.57,0.4402356902356902,0.4,0.2840438697563265,0.4,0.0205999999999999,1,1,True,78397440,0.0711806899926159,151,,0.0711957899926159,0.38,0.0711957899926159,0.0711957899926159,0.0711957899926159,"{'split_layer': 8, 'activation_compression': False, 'trainable_scope': 'split_client_server_blocks', 'privacy_risk': 0.38, 'dataset': 'pubmedqa', 'labels': ('maybe', 'no', 'yes'), 'split_sizes': {'train': 800, 'validation': 100, 'test': 100}, 'backend': 'bag_of_words_reference', 'primary_metric': 'accuracy'}",splitfed_layer_8,42,pubmedqa,0.33,True,,0.009126663208007812,7.118068999261589e-05,7.55e-08,,5.932982499384659e-05,0.76,1.65,0.40320954137680765
0.57,0.4,0.57,0.4402356902356902,0.4,0.2840438697563265,0.4,0.0205999999999999,1,1,True,78397440,0.070301414001733,197,,0.070321114001733,0.34,0.070321114001733,0.070321114001733,0.070321114001733,"{'split_layer': 8, 'activation_compression': True, 'trainable_scope': 'split_client_server_blocks', 'privacy_risk': 0.34, 'dataset': 'pubmedqa', 'labels': ('maybe', 'no', 'yes'), 'split_sizes': {'train': 800, 'validation': 100, 'test': 100}, 'backend': 'bag_of_words_reference', 'primary_metric': 'accuracy'}",splitfed_layer_8_activation_compression,42,pubmedqa,0.33,True,,0.009126663208007812,7.030141400173299e-05,9.85e-08,,5.860092833477751e-05,0.68,1.65,0.38987594385336594
0.57,0.4,0.57,0.4402356902356902,0.4,0.2840438697563265,0.4,0.0205999999999999,1,1,True,78397440,0.0708578019984997,163,,0.0708741019984997,0.3,0.0708741019984997,0.0708741019984997,0.0708741019984997,"{'trainable_scope': 'student_model', 'privacy_risk': 0.3, 'dataset': 'pubmedqa', 'labels': ('maybe', 'no', 'yes'), 'split_sizes': {'train': 800, 'validation': 100, 'test': 100}, 'backend': 'bag_of_words_reference', 'primary_metric': 'accuracy'}",federated_distillation,42,pubmedqa,0.33,True,,0.009126663208007812,7.085780199849969e-05,8.15e-08,,5.9061751665416415e-05,0.6,1.65,0.3765427772272539
0.57,0.4,0.57,0.4402356902356902,0.4,0.2840438697563265,0.4,0.0205999999999999,1,1,True,78397440,0.0770000100019387,141,,0.0770141100019388,0.25,0.0770141100019388,0.0770141100019388,0.0770141100019388,"{'rank': 8, 'trainable_scope': 'lora_adapters', 'privacy_risk': 0.25, 'dataset': 'pubmedqa', 'labels': ('maybe', 'no', 'yes'), 'split_sizes': {'train': 800, 'validation': 100, 'test': 100}, 'backend': 'bag_of_words_reference', 'primary_metric': 'accuracy'}",lora_rank_8,43,pubmedqa,0.33,True,,0.009126663208007812,7.70000100019387e-05,7.05e-08,,6.417842500161565e-05,0.5,1.65,0.35987798521414416
0.57,0.4,0.57,0.4402356902356902,0.4,0.2840438697563265,0.4,0.0205999999999999,1,1,True,78397440,0.0709701439773198,143,,0.0709844439773198,0.25,0.0709844439773198,0.0709844439773198,0.0709844439773198,"{'rank': 16, 'trainable_scope': 'lora_adapters', 'privacy_risk': 0.25, 'dataset': 'pubmedqa', 'labels': ('maybe', 'no', 'yes'), 'split_sizes': {'train': 800, 'validation': 100, 'test': 100}, 'backend': 'bag_of_words_reference', 'primary_metric': 'accuracy'}",lora_rank_16,43,pubmedqa,0.33,True,,0.009126663208007812,7.097014397731979e-05,7.15e-08,,5.915370331443317e-05,0.5,1.65,0.3598761429495252
0.57,0.4,0.57,0.4402356902356902,0.4,0.2840438697563265,0.4,0.0205999999999999,1,1,True,78397440,0.0704887860047165,153,,0.0705040860047165,0.22,0.0705040860047165,0.0705040860047165,0.0705040860047165,"{'rank': 8, 'quantization_bits': 4, 'trainable_scope': 'qlora_adapters', 'privacy_risk': 0.22, 'dataset': 'pubmedqa', 'labels': ('maybe', 'no', 'yes'), 'split_sizes': {'train': 800, 'validation': 100, 'test': 100}, 'backend': 'bag_of_words_reference', 'primary_metric': 'accuracy'}",qlora_4bit_rank_8,43,pubmedqa,0.33,True,,0.009126663208007812,7.04887860047165e-05,7.65e-08,,5.8753405003930415e-05,0.44,1.65,0.3498759968441446
0.57,0.4,0.57,0.4402356902356902,0.4,0.2840438697563265,0.4,0.0205999999999999,1,1,True,78397440,0.070156951987883,151,,0.070172051987883,0.38,0.070172051987883,0.070172051987883,0.070172051987883,"{'split_layer': 8, 'activation_compression': False, 'trainable_scope': 'split_client_server_blocks', 'privacy_risk': 0.38, 'dataset': 'pubmedqa', 'labels': ('maybe', 'no', 'yes'), 'split_sizes': {'train': 800, 'validation': 100, 'test': 100}, 'backend': 'bag_of_words_reference', 'primary_metric': 'accuracy'}",splitfed_layer_8,43,pubmedqa,0.33,True,,0.009126663208007812,7.015695198788301e-05,7.55e-08,,5.8476709989902496e-05,0.76,1.65,0.4032092285679728
