plan_id,model_id,method,seed,dataset,training_mode,aggregation,validation_utility,validation_macro_f1,test_utility,test_macro_f1,accuracy_loss,rounds_completed,rounds_to_target,target_reached,peak_memory_bytes,compute_to_target_seconds,communication_to_target_bytes,latency_to_target_seconds,mean_round_latency_seconds,privacy_risk,energy_to_target_joules,feasible,violations,normalized_memory,normalized_compute,normalized_communication,normalized_energy,normalized_latency,normalized_privacy,normalized_accuracy,tradefl_score
llama3_8b_qlora,meta-llama/Meta-Llama-3-8B,qlora,42,pubmedqa,real_federated,FedAvg,0.69,0.4708994708994709,0.71,0.514452798663325,0.21,1,1,True,15711505408,598.8601298648864,136314880,1513.391226161271,1513.391226161271,0.25,,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
llama3_8b_qlora,meta-llama/Meta-Llama-3-8B,qlora,43,pubmedqa,real_federated,FedAvg,0.68,0.4693732193732194,0.69,0.4987004548408056,0.2199999999999999,1,1,True,26516753408,611.1664025178179,136314880,1545.2009852109477,1545.2009852109477,0.25,,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
llama3_8b_qlora,meta-llama/Meta-Llama-3-8B,qlora,44,pubmedqa,real_federated,FedAvg,0.7,0.4761904761904762,0.69,0.4990810359231412,0.2,1,1,True,26523569152,608.0079322587699,136314880,1471.779287933372,1471.779287933372,0.25,,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
llama3_8b_lora,meta-llama/Meta-Llama-3-8B,lora,42,pubmedqa,real_federated,FedAvg,0.74,0.5120300138651007,0.73,0.5304232804232804,0.16,1,1,True,32215419904,243.8180838963017,136314880,1133.4417354101315,1133.4417354101315,0.25,,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
llama3_8b_lora,meta-llama/Meta-Llama-3-8B,lora,43,pubmedqa,real_federated,FedAvg,0.71,0.4908888358398982,0.73,0.5276530323259295,0.19,1,1,True,32215419904,241.9835326783359,136314880,1106.352673699148,1106.352673699148,0.25,,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
llama3_8b_lora,meta-llama/Meta-Llama-3-8B,lora,44,pubmedqa,real_federated,FedAvg,0.75,0.5174944947394177,0.74,0.5377871951472849,0.15,1,1,True,32215419904,243.60299082286656,136314880,1115.7290665442124,1115.7290665442124,0.25,,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
deepseek_r1_distill_llama_8b_lora,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,lora,42,pubmedqa,real_federated,FedAvg,0.74,0.5143816102720211,0.68,0.4916454262248655,0.16,1,1,True,32215419904,241.6696514040232,136314880,1082.4736123690382,1082.4736123690382,0.25,,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
deepseek_r1_distill_llama_8b_lora,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,lora,43,pubmedqa,real_federated,FedAvg,0.75,0.5224286897857735,0.67,0.4837556855100715,0.15,1,1,True,32215419904,243.5710369683802,136314880,1062.041616750881,1062.041616750881,0.25,,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
deepseek_r1_distill_llama_8b_lora,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,lora,44,pubmedqa,real_federated,FedAvg,0.74,0.5094246031746031,0.66,0.4714975845410628,0.16,1,1,True,32215419904,242.03073003701863,136314880,1030.6074799969792,1030.6074799969792,0.25,,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
bio_clinicalbert_baseline,emilyalsentzer/Bio_ClinicalBERT,full_finetuning,42,pubmedqa,real_federated,FedAvg,0.59,0.2473794549266247,0.49,0.2192393736017897,0.31,1,1,True,16575572480,21.874684289097782,4332503160,34.005480541847646,34.005480541847646,0.25,,False,memory_capacity_exceeded,,,,,,,,
