tradeoff,plan_id,status,dominated_by
memory_communication,llama3_8b_qlora,pareto,
memory_communication,llama3_8b_lora,not_available,
memory_communication,deepseek_r1_distill_llama_8b_lora,not_available,
memory_communication,bio_clinicalbert_baseline,not_available,
memory_communication,bio_clinicalbert_splitfed,not_available,
memory_communication,bio_clinicalbert_federated_distillation,not_available,
memory_communication,qwen2_5_7b_centralized_baseline,not_available,
latency_energy,llama3_8b_qlora,pareto,
latency_energy,llama3_8b_lora,not_available,
latency_energy,deepseek_r1_distill_llama_8b_lora,not_available,
latency_energy,bio_clinicalbert_baseline,not_available,
latency_energy,bio_clinicalbert_splitfed,not_available,
latency_energy,bio_clinicalbert_federated_distillation,not_available,
latency_energy,qwen2_5_7b_centralized_baseline,not_available,
privacy_accuracy,llama3_8b_qlora,pareto,
privacy_accuracy,llama3_8b_lora,not_available,
privacy_accuracy,deepseek_r1_distill_llama_8b_lora,not_available,
privacy_accuracy,bio_clinicalbert_baseline,not_available,
privacy_accuracy,bio_clinicalbert_splitfed,not_available,
privacy_accuracy,bio_clinicalbert_federated_distillation,not_available,
privacy_accuracy,qwen2_5_7b_centralized_baseline,not_available,
time_communication,llama3_8b_qlora,pareto,
time_communication,llama3_8b_lora,not_available,
time_communication,deepseek_r1_distill_llama_8b_lora,not_available,
time_communication,bio_clinicalbert_baseline,not_available,
time_communication,bio_clinicalbert_splitfed,not_available,
time_communication,bio_clinicalbert_federated_distillation,not_available,
time_communication,qwen2_5_7b_centralized_baseline,not_available,
